"id"	"AGEP"	"CIT"	"COW"	"DDRS"	"INTP"	"LANX"	"MAR"	"MARHT"	"MIG"	"MIL"	"SCHL"	"SEX"	"WAGP"	"WKHP"	"ESR"	"INDP"	"OCCP"	"PINCP"	"RAC1P"
"585"	5860	46	"Born in the U.S."	"Self-employed in own not incorporated"	"No"	0	"No, speaks only English"	"Divorced"	"One time"	"Yes, same house (nonmovers)"	"Yes, on active duty in the past, but not during the last 12"	"Regular high school diploma"	"Male"	0	NA	"Not in labor force"	NA	"FFF-FISHING AND HUNTING WORKERS"	20000	"White alone"
"586"	5882	11	"U.S. citizen by naturalization"	NA	"No"	NA	"No, speaks only English"	"Never married or under 15 years old"	NA	"No, different house in US or Puerto Rico"	NA	NA	"Female"	NA	NA	NA	NA	NA	NA	"Black or African American alone"
"587"	5887	23	"Born in the U.S."	NA	"No"	0	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	"No, never served in the military"	"Bachelor's degree"	"Female"	0	NA	"Not in labor force"	NA	NA	0	"Two or more major race groups"
"588"	5892	44	"Born in the U.S."	"Self-employed in own incorporated"	"No"	5000	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Professional degree beyond a bachelor's degree"	"Female"	260000	30	"Civilian employed, at work"	"MED-OFFICES OF PHYSICIANS"	"MED-PHYSICIANS AND SURGEONS"	265000	"White alone"
"589"	5905	42	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Married"	"Three or more times"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Regular high school diploma"	"Female"	35000	40	"Civilian employed, at work"	"PRF-SCIENTIFIC RESEARCH AND DEVELOPMENT SERVICES"	"SCI-MISCELLANEOUS LIFE, PHYSICAL, AND SOCIAL SCIENCE"	35000	"White alone"
"590"	5912	82	"Born in the U.S."	NA	"Yes"	0	"No, speaks only English"	"Widowed"	"Two times"	"Yes, same house (nonmovers)"	"No, never served in the military"	"1 or more years of college credit, no degree"	"Female"	0	NA	"Not in labor force"	NA	NA	36000	"White alone"
"591"	5921	51	"Not a citizen of the U.S."	"Local government employee (city, county, etc.)"	"No"	0	"Yes, speaks another language"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Professional degree beyond a bachelor's degree"	"Female"	0	NA	"Not in labor force"	"MED-HOSPITALS"	"MED-PHYSICIANS AND SURGEONS"	0	"White alone"
"592"	5931	66	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Regular high school diploma"	"Female"	0	NA	"Not in labor force"	"RET-PHARMACIES AND DRUG STORES"	"OFF-BOOKKEEPING, ACCOUNTING, AND AUDITING CLERKS"	12000	"White alone"
"593"	5938	68	"Born in the U.S."	NA	"No"	0	"No, speaks only English"	"Widowed"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Regular high school diploma"	"Female"	0	NA	"Not in labor force"	NA	NA	64600	"White alone"
"594"	5960	47	"Not a citizen of the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Grade 11"	"Male"	30000	40	"Civilian employed, at work"	"PRF-LANDSCAPING SERVICES"	"CLN-GROUNDS MAINTENANCE WORKERS"	30000	"White alone"
"595"	5967	52	"Born in the U.S."	"Self-employed in own not incorporated"	"No"	9000	"No, speaks only English"	"Married"	"Two times"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Grade 11"	"Male"	0	40	"Civilian employed, at work"	NA	"CON-CARPENTERS"	59000	"White alone"
"596"	5988	61	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	60000	"No, speaks only English"	"Divorced"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Some college, but less than 1 year"	"Female"	800	4	"Not in labor force"	"PRF-EMPLOYMENT SERVICES"	"OFF-RECEPTIONISTS AND INFORMATION CLERKS"	66800	"White alone"
"597"	6006	50	"U.S. citizen by naturalization"	"Employee of a private not-for-profit,"	"No"	0	"Yes, speaks another language"	"Divorced"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Associate's degree"	"Female"	80000	40	"Civilian employed, at work"	"MED-HOSPITALS"	"MED-REGISTERED NURSES"	80000	"White alone"
"598"	6021	12	"Born in the U.S."	NA	"No"	NA	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	NA	NA	"Female"	NA	NA	NA	NA	NA	NA	"White alone"
"599"	6044	49	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Regular high school diploma"	"Female"	50000	40	"Civilian employed, at work"	"MFG-INDUSTRIAL AND MISCELLANEOUS CHEMICALS"	"OFF-MISCELLANEOUS OFFICE AND ADMINISTRATIVE SUPPORT"	50000	"Native Hawaiian and Other Pacific Islander alone"
"600"	6045	30	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Never married or under 15 years old"	NA	"No, different house in US or Puerto Rico"	"No, never served in the military"	"Professional degree beyond a bachelor's degree"	"Female"	65000	48	"Civilian employed, at work"	"RET-CLOTHING STORES"	"SAL-RETAIL SALESPERSONS"	65000	"White alone"
"601"	6046	30	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Never married or under 15 years old"	NA	"No, different house in US or Puerto Rico"	"No, never served in the military"	"Professional degree beyond a bachelor's degree"	"Male"	110000	50	"Civilian employed, at work"	"PRF-LEGAL SERVICES"	"LGL-LAWYERS AND JUDGES, MAGISTRATES, AND OTHER JUDICIAL"	110000	"White alone"
"602"	6054	79	"Born in the U.S."	NA	"No"	0	"No, speaks only English"	"Widowed"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Regular high school diploma"	"Female"	0	NA	"Not in labor force"	NA	NA	33500	"White alone"
"603"	6082	74	"Born in the U.S."	NA	"No"	0	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Master's degree"	"Female"	0	NA	"Not in labor force"	NA	NA	37300	"White alone"
"604"	6104	19	"U.S. citizen by naturalization"	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	"No, never served in the military"	"Some college, but less than 1 year"	"Male"	2000	20	"Unemployed"	"TRN-COURIERS AND MESSENGERS"	"TRN-DRIVER/SALES WORKERS AND TRUCK DRIVERS"	2000	"White alone"
"605"	6125	21	"Born in the U.S."	"Employee of a private not-for-profit,"	"No"	0	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	"No, never served in the military"	"Some college, but less than 1 year"	"Male"	6000	17	"Civilian employed, at work"	"ENT-MUSEUMS, ART GALLERIES, HISTORICAL SITES, AND SIMILAR"	"PRS-MOTION PICTURE PROJECTIONISTS"	6000	"White alone"
"606"	6153	79	"U.S. citizen by naturalization"	NA	"Yes"	0	"No, speaks only English"	"Divorced"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Bachelor's degree"	"Female"	0	NA	"Not in labor force"	NA	NA	7900	"White alone"
"607"	6190	50	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	3000	"Yes, speaks another language"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	"No, never served in the military"	"Associate's degree"	"Male"	47000	50	"Civilian employed, at work"	"WHL-GROCERIES AND RELATED PRODUCTS MERCHANT WHOLESALERS"	"SAL-SALES REPRESENTATIVES, WHOLESALE AND MANUFACTURING"	50000	"White alone"
"608"	6196	26	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	"No, never served in the military"	"Regular high school diploma"	"Female"	26000	40	"Civilian employed, at work"	"RET-BEER, WINE, AND LIQUOR STORES"	"OFF-DATA ENTRY KEYERS"	26000	"White alone"
"609"	6202	60	"Born in the U.S."	"Local government employee (city, county, etc.)"	"No"	2000	"No, speaks only English"	"Divorced"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Master's degree"	"Female"	0	NA	"Not in labor force"	"EDU-ELEMENTARY AND SECONDARY SCHOOLS"	"EDU-ELEMENTARY AND MIDDLE SCHOOL TEACHERS"	47900	"White alone"
"610"	6213	48	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Divorced"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"GED or alternative credential"	"Male"	11700	40	"Civilian employed, at work"	"RET-DEPARTMENT AND DISCOUNT STORES"	"OFF-SHIPPING, RECEIVING, AND TRAFFIC CLERKS"	11700	"White alone"
"611"	6221	42	"Born in the U.S."	"Federal government employee"	"No"	0	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, training for Reserves/National Guard only"	"Bachelor's degree"	"Male"	140000	50	"Civilian employed, at work"	"ADM-JUSTICE, PUBLIC ORDER, AND SAFETY ACTIVITIES"	"PRT-DETECTIVES AND CRIMINAL INVESTIGATORS"	140000	"White alone"
"612"	6223	11	"Born in the U.S."	NA	"No"	NA	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	NA	NA	"Female"	NA	NA	NA	NA	NA	NA	"White alone"
"613"	6226	8	"Born in the U.S."	NA	"No"	NA	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	NA	NA	"Female"	NA	NA	NA	NA	NA	NA	"White alone"
"614"	6228	79	"Born in the U.S."	NA	"No"	0	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	"No, never served in the military"	"12th grade - no diploma"	"Female"	0	NA	"Not in labor force"	NA	NA	16000	"White alone"
"615"	6229	67	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	29000	"No, speaks only English"	"Widowed"	"Two times"	"Yes, same house (nonmovers)"	"No, never served in the military"	"1 or more years of college credit, no degree"	"Female"	0	NA	"Not in labor force"	"FIN-REAL ESTATE"	"OFF-SECRETARIES AND ADMINISTRATIVE ASSISTANTS"	57800	"White alone"
"616"	6261	25	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	50	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	"No, never served in the military"	"Master's degree"	"Female"	64000	60	"Civilian employed, at work"	"PRF-ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL"	NA	64050	"White alone"
"617"	6269	43	"Born in the U.S."	"Self-employed in own incorporated"	"No"	0	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Some college, but less than 1 year"	"Female"	19500	40	"Civilian employed, at work"	"SRV-BEAUTY SALONS"	"PRS-HAIRDRESSERS, HAIRSTYLISTS, AND COSMETOLOGISTS"	19500	"White alone"
"618"	6272	22	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	"No, never served in the military"	"Regular high school diploma"	"Male"	31800	40	"Civilian employed, at work"	NA	"CON-ELECTRICIANS"	31800	"White alone"
"619"	6280	26	"U.S. citizen by naturalization"	"Employee of a private not-for-profit,"	"No"	0	"Yes, speaks another language"	"Married"	"One time"	"No, different house in US or Puerto Rico"	"No, never served in the military"	"Associate's degree"	"Female"	27000	40	"Civilian employed, at work"	"MED-OFFICES OF PHYSICIANS"	"HLS-MEDICAL ASSISTANTS AND OTHER HEALTHCARE SUPPORT"	27000	"White alone"
"620"	6284	45	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	2000	"No, speaks only English"	"Divorced"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Bachelor's degree"	"Female"	200000	50	"Civilian employed, at work"	"PRF-ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL"	"CMM-ACTUARIES"	202000	"White alone"
"621"	6285	45	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	24000	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	"No, never served in the military"	"Bachelor's degree"	"Female"	40000	50	"Not in labor force"	"FIN-INSURANCE CARRIERS AND RELATED ACTIVITIES"	"CMM-COMPUTER PROGRAMMERS"	64000	"White alone"
"622"	6290	42	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Bachelor's degree"	"Male"	173000	55	"Civilian employed, at work"	"WHL-ELECTRICAL GOODS MERCHANT WHOLESALERS"	"SAL-SALES REPRESENTATIVES, WHOLESALE AND MANUFACTURING"	173000	"White alone"
"623"	6321	52	"Born in the U.S."	"Local government employee (city, county, etc.)"	"No"	0	"No, speaks only English"	"Married"	"Three or more times"	"No, different house in US or Puerto Rico"	"No, never served in the military"	"1 or more years of college credit, no degree"	"Male"	84000	70	"Civilian employed, at work"	"ADM-JUSTICE, PUBLIC ORDER, AND SAFETY ACTIVITIES"	"PRT-POLICE OFFICERS"	84000	"White alone"
"624"	6335	70	"Born in the U.S."	NA	"No"	0	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Regular high school diploma"	"Female"	0	NA	"Not in labor force"	NA	NA	6700	"White alone"
"625"	6339	75	"Born in the U.S."	NA	"No"	30000	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	"No, never served in the military"	"Bachelor's degree"	"Female"	0	NA	"Not in labor force"	NA	NA	97000	"White alone"
"626"	6348	51	"Born abroad of American parent(s)"	NA	"No"	0	"No, speaks only English"	"Married"	"Two times"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Regular high school diploma"	"Male"	0	NA	"Not in labor force"	NA	NA	0	"White alone"
"627"	6362	2	"Born in the U.S."	NA	NA	NA	NA	"Never married or under 15 years old"	NA	"No, different house in US or Puerto Rico"	NA	NA	"Male"	NA	NA	NA	NA	NA	NA	"White alone"
"628"	6367	47	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Married"	"One time"	"No, different house in US or Puerto Rico"	"No, never served in the military"	"1 or more years of college credit, no degree"	"Male"	90000	50	"Civilian employed, at work"	"MFG-COMPUTER AND PERIPHERAL EQUIPMENT"	"CMM-COMPUTER SOFTWARE ENGINEERS"	90000	"White alone"
"629"	6395	78	"Born in the U.S."	NA	"No"	3700	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Grade 10"	"Female"	0	NA	"Not in labor force"	NA	NA	10600	"White alone"
"630"	6400	73	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Widowed"	"One time"	"Yes, same house (nonmovers)"	"No, training for Reserves/National Guard only"	"Regular high school diploma"	"Male"	20000	10	"Civilian employed, at work"	NA	NA	44000	"White alone"
"631"	6406	23	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	"No, never served in the military"	"Bachelor's degree"	"Female"	10000	40	"Civilian employed, at work"	"MFG-PRINTING AND RELATED SUPPORT ACTIVITIES"	"PRD-FIRST-LINE SUPERVISORS/MANAGERS OF PRODUCTION AND"	10000	"White alone"
"632"	6438	45	"U.S. citizen by naturalization"	"Employee of a private for-profit company or"	"No"	0	"Yes, speaks another language"	"Divorced"	"One time"	"No, different house in US or Puerto Rico"	"No, never served in the military"	"Regular high school diploma"	"Male"	40000	40	"Civilian employed, at work"	"PRF-EMPLOYMENT SERVICES"	"CLN-JANITORS AND BUILDING CLEANERS"	40000	"Some other race alone"
"633"	6449	16	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	NA	"Grade 10"	"Female"	2000	12	"Civilian employed, at work"	"MED-OFFICE OF CHIROPRACTORS"	"OFF-BILLING AND POSTING CLERKS AND MACHINE OPERATORS"	2000	"White alone"
"634"	6450	10	"Born in the U.S."	NA	"No"	NA	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	NA	NA	"Male"	NA	NA	NA	NA	NA	NA	"White alone"
"635"	6462	55	"Born in the U.S."	"Local government employee (city, county, etc.)"	"No"	0	"No, speaks only English"	"Divorced"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Bachelor's degree"	"Female"	65000	35	"Civilian employed, at work"	"EDU-ELEMENTARY AND SECONDARY SCHOOLS"	"EDU-SECONDARY SCHOOL TEACHERS"	65000	"White alone"
"636"	6467	38	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Regular high school diploma"	"Female"	13000	40	"Civilian employed, at work"	"EDU-ELEMENTARY AND SECONDARY SCHOOLS"	"EAT-COOKS"	13000	"White alone"
"637"	6468	16	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	NA	"Grade 9"	"Female"	40	2	"Civilian employed, at work"	NA	"FFF-MISCELLANEOUS AGRICULTURAL WORKERS, INCLUDING ANIMAL"	40	"White alone"
"638"	6476	49	"Born in the U.S."	"Local government employee (city, county, etc.)"	"No"	110	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Some college, but less than 1 year"	"Female"	12400	30	"Civilian employed, at work"	"EDU-ELEMENTARY AND SECONDARY SCHOOLS"	"EDU-TEACHER ASSISTANTS"	12510	"White alone"
"639"	6481	72	"Born in the U.S."	NA	"No"	19000	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Bachelor's degree"	"Female"	0	NA	"Not in labor force"	NA	NA	30000	"White alone"
"640"	6485	72	"Born in the U.S."	"Local government employee (city, county, etc.)"	"No"	200	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Master's degree"	"Male"	6000	18	"Civilian employed, at work"	"EDU-ELEMENTARY AND SECONDARY SCHOOLS"	"EDU-SECONDARY SCHOOL TEACHERS"	13400	"White alone"
"641"	6502	94	"Born in the U.S."	NA	"Yes"	0	"No, speaks only English"	"Widowed"	"One time"	"No, different house in US or Puerto Rico"	"No, never served in the military"	"Regular high school diploma"	"Female"	0	NA	"Not in labor force"	NA	NA	10400	"White alone"
"642"	6503	44	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	350	"No, speaks only English"	"Never married or under 15 years old"	NA	"No, different house in US or Puerto Rico"	"No, never served in the military"	"Bachelor's degree"	"Male"	55000	50	"Civilian employed, at work"	"ENT-RESTAURANTS AND OTHER FOOD SERVICES"	NA	55350	"White alone"
"643"	6520	60	"Born in the U.S."	NA	"No"	0	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Regular high school diploma"	"Male"	0	NA	"Not in labor force"	NA	NA	1000	"White alone"
"644"	6522	57	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Separated"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Bachelor's degree"	"Male"	31500	60	"Civilian employed, with a job but not at work"	"TRN-COURIERS AND MESSENGERS"	"TRN-DRIVER/SALES WORKERS AND TRUCK DRIVERS"	31500	"White alone"
"645"	6537	29	"U.S. citizen by naturalization"	"Self-employed in own not incorporated"	"No"	0	"Yes, speaks another language"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Grade 11"	"Male"	0	50	"Civilian employed, at work"	"PRF-SERVICES TO BUILDINGS AND DWELLINGS, EX CONSTR CLN"	"CLN-MAIDS AND HOUSEKEEPING CLEANERS"	18500	"White alone"
"646"	6538	24	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Never married or under 15 years old"	NA	"No, different house in US or Puerto Rico"	"No, never served in the military"	"GED or alternative credential"	"Male"	0	NA	"Not in labor force"	"RET-DEPARTMENT AND DISCOUNT STORES"	"OFF-STOCK CLERKS AND ORDER FILLERS"	0	"Black or African American alone"
"647"	6539	63	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	45000	"No, speaks only English"	"Widowed"	"Two times"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Associate's degree"	"Female"	0	NA	"Not in labor force"	"RET-MISCELLANEOUS RETAIL STORES"	"OFF-OFFICE CLERKS, GENERAL"	45000	"White alone"
"648"	6540	55	"Born in the U.S."	"Local government employee (city, county, etc.)"	"No"	-9999	"No, speaks only English"	"Divorced"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Master's degree"	"Female"	80000	40	"Civilian employed, at work"	"EDU-ELEMENTARY AND SECONDARY SCHOOLS"	"EDU-SPECIAL EDUCATION TEACHERS"	70001	"White alone"
"649"	6552	83	"Born in the U.S."	NA	"No"	0	"No, speaks only English"	"Widowed"	"Two times"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Some college, but less than 1 year"	"Female"	0	NA	"Not in labor force"	NA	NA	9600	"White alone"
"650"	6564	48	"Born in the U.S."	"Employee of a private not-for-profit,"	"No"	0	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"1 or more years of college credit, no degree"	"Female"	0	NA	"Not in labor force"	"MED-OTHER HEALTH CARE SERVICES"	"CMM-OPERATIONS RESEARCH ANALYSTS"	0	"White alone"
"651"	6593	27	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Married"	"One time"	"No, different house in US or Puerto Rico"	"No, never served in the military"	"Regular high school diploma"	"Male"	58000	52	"Civilian employed, at work"	"MFG-MACHINERY, N.E.C."	"PRD-COMPUTER CONTROL PROGRAMMERS AND OPERATORS"	58000	"White alone"
"652"	6603	35	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	500	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"Yes, on active duty in the past, but not during the last 12"	"Bachelor's degree"	"Male"	60000	50	"Civilian employed, at work"	"FIN-SECURITIES, COMMODITIES, FUNDS, TRUSTS, AND OTHER"	NA	60500	"White alone"
"653"	6623	43	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Divorced"	"One time"	"No, different house in US or Puerto Rico"	"No, never served in the military"	"Bachelor's degree"	"Female"	72000	40	"Civilian employed, at work"	"WHL-DRUGS, SUNDRIES, AND CHEMICAL AND ALLIED PRODUCTS"	"SAL-FIRST-LINE SUPERVISORS/MANAGERS OF NON-RETAIL SALES"	72000	"White alone"
"654"	6629	9	"Born in the U.S."	NA	"No"	NA	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	NA	NA	"Male"	NA	NA	NA	NA	NA	NA	"White alone"
"655"	6644	52	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Bachelor's degree"	"Male"	100000	40	"Civilian employed, at work"	"MED-OTHER HEALTH CARE SERVICES"	NA	130000	"White alone"
"656"	6647	47	"Born in the U.S."	"Self-employed in own not incorporated"	"No"	0	"No, speaks only English"	"Married"	"Two times"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Regular high school diploma"	"Male"	0	40	"Civilian employed, at work"	NA	"CON-PAPERHANGERS"	50000	"White alone"
"657"	6658	66	"Born in the U.S."	"Self-employed in own not incorporated"	"No"	8000	"Yes, speaks another language"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Doctorate degree"	"Female"	0	10	"Not in labor force"	"EDU-COLLEGES AND UNIVERSITIES, INCLUDING JUNIOR COLLEGES"	"ENT-NEWS ANALYSTS, REPORTERS AND CORRESPONDENTS"	40000	"White alone"
"658"	6663	29	"Not a citizen of the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Bachelor's degree"	"Female"	22300	35	"Civilian employed, at work"	"PRF-MANAGEMENT OF COMPANIES AND ENTERPRISES"	NA	22300	"Asian alone"
"659"	6666	77	"Born in the U.S."	NA	"No"	350	"No, speaks only English"	"Widowed"	"Three or more times"	"Yes, same house (nonmovers)"	"No, never served in the military"	"1 or more years of college credit, no degree"	"Female"	0	NA	"Not in labor force"	NA	NA	12950	"White alone"
"660"	6680	23	"Not a citizen of the U.S."	NA	"No"	0	"Yes, speaks another language"	"Never married or under 15 years old"	NA	"No, outside US and Puerto Rico"	"No, never served in the military"	"Bachelor's degree"	"Male"	0	NA	"Not in labor force"	NA	NA	10000	"White alone"
"661"	6687	23	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	"No, never served in the military"	"Bachelor's degree"	"Male"	5000	40	"Civilian employed, at work"	"FIN-BANKING AND RELATED ACTIVITIES"	NA	5000	"White alone"
"662"	6696	72	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Regular high school diploma"	"Female"	0	NA	"Not in labor force"	"MED-OFFICES OF PHYSICIANS"	"OFF-SECRETARIES AND ADMINISTRATIVE ASSISTANTS"	13400	"White alone"
"663"	6699	66	"Born in the U.S."	"Local government employee (city, county, etc.)"	"No"	0	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Bachelor's degree"	"Female"	0	NA	"Not in labor force"	"EDU-ELEMENTARY AND SECONDARY SCHOOLS"	"EDU-ELEMENTARY AND MIDDLE SCHOOL TEACHERS"	9300	"White alone"
"664"	6711	30	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	"No, never served in the military"	"Bachelor's degree"	"Male"	80000	40	"Civilian employed, at work"	"FIN-NON-DEPOSITORY CREDIT AND RELATED ACTIVITIES"	"SAL-SECURITIES, COMMODITIES, AND FINANCIAL SERVICES SALES"	80000	"White alone"
"665"	6748	38	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Bachelor's degree"	"Female"	40000	28	"Civilian employed, at work"	"MED-NURSING CARE FACILITIES"	"MED-REGISTERED NURSES"	40000	"White alone"
"666"	6751	54	"Born in the U.S."	"Self-employed in own incorporated"	"No"	0	"No, speaks only English"	"Married"	"Two times"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Regular high school diploma"	"Male"	42000	40	"Civilian employed, at work"	"RET-GROCERY STORES"	"SAL-FIRST-LINE SUPERVISORS/MANAGERS OF RETAIL SALES WORKERS"	42000	"White alone"
"667"	6754	22	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Never married or under 15 years old"	NA	"No, different house in US or Puerto Rico"	"No, never served in the military"	"Bachelor's degree"	"Male"	4000	40	"Unemployed"	"SRV-ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND"	"ENG-ELECTRICAL AND ELECTRONICS ENGINEERS"	4000	"White alone"
