Economy	Code	Region	IncomeGr	Population	Total Wealth	Intangible Capital	Net Foreign Assets	Produced Capital	Natural Capital	Crop 	Pasture Land	Timber	NTFR	Protected Areas	Oil	Natural Gas	Hard coal	Soft coal	Coal	Minerals	Subsoil Assets
Northern Mariana Islands	MNP	East Asia & Pacific	High income: nonOECD	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Norway	NOR	Europe & Central Asia	High income: OECD	4623300.00	861797.00	532121.00	36436.00	183078.00	110162.00	505.00	3078.00	669.00	1417.00	4788.00	56812.00	42883.00	0.00	0.00	0.00	11.00	99706.00
Oman	OMN	Middle East & North Africa	High income: nonOECD	2566981.00	147560.00	45043.00	2396.00	22987.00	77134.00	872.00	1159.00	0.00	16.00	3456.00	53582.00	18049.00	0.00	0.00	0.00	0.00	71631.00
Pakistan	PAK	South Asia	Lower middle income	155772000.00	12198.00	7600.00	-205.00	1449.00	3355.00	1194.00	1325.00	78.00	6.00	286.00	71.00	396.00	0.00	0.00	0.00	0.00	467.00
Palau	PLW	East Asia & Pacific	Upper middle income	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Panama	PAN	Latin America & Caribbean	Upper middle income	3231502.00	75287.00	59916.00	-4245.00	11672.00	7944.00	2338.00	1255.00	1424.00	315.00	2611.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Papua New Guinea	PNG	East Asia & Pacific	Lower middle income	5887138.00	8989.00	-1584.00	-543.00	2547.00	8569.00	3112.00	13.00	1361.00	1146.00	319.00	1117.00	41.00	0.00	0.00	0.00	1461.00	2618.00
Paraguay	PRY	Latin America & Caribbean	Lower middle income	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Peru	PER	Latin America & Caribbean	Upper middle income	27968244.00	44912.00	33169.00	-1235.00	7160.00	5818.00	1988.00	568.00	1028.00	583.00	603.00	537.00	0.00	0.00	0.00	0.00	510.00	1047.00
Philippines	PHL	East Asia & Pacific	Lower middle income	83054478.00	19698.00	14076.00	-592.00	2745.00	3468.00	2582.00	72.00	355.00	17.00	302.00	2.00	65.00	5.00	0.00	5.00	67.00	139.00
Poland	POL	Europe & Central Asia	Upper middle income	38165450.00	135941.00	109935.00	-3414.00	20526.00	8894.00	2388.00	2631.00	375.00	68.00	2306.00	74.00	287.00	467.00	73.00	540.00	225.00	1126.00
Portugal	PRT	Europe & Central Asia	High income: OECD	10549450.00	305832.00	254047.00	-12359.00	59939.00	4204.00	1866.00	1007.00	469.00	170.00	655.00	0.00	0.00	0.00	0.00	0.00	37.00	37.00
Puerto Rico	PRI	Latin America & Caribbean	High income: nonOECD	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Qatar	QAT	Middle East & North Africa	High income: nonOECD	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Romania	ROM	Europe & Central Asia	Upper middle income	21634350.00	80906.00	58959.00	-1403.00	14292.00	9058.00	2444.00	3408.00	486.00	70.00	297.00	630.00	1644.00	0.00	50.00	50.00	29.00	2353.00
Russian Federation	RUS	Europe & Central Asia	Upper middle income	143113650.00	73166.00	24364.00	-227.00	17712.00	31317.00	1665.00	1356.00	326.00	1353.00	2380.00	11292.00	11921.00	591.00	58.00	649.00	377.00	24238.00
Rwanda	RWA	Sub-Saharan Africa	Low income	9037690.00	5326.00	2003.00	-112.00	488.00	2947.00	2050.00	232.00	525.00	26.00	114.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Samoa	WSM	East Asia & Pacific	Lower middle income	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
San Marino	SMR	Europe & Central Asia	High income: nonOECD	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
São Tomé and Principe	STP	Sub-Saharan Africa	Lower middle income	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Saudi Arabia	SAU	Middle East & North Africa	High income: nonOECD	23118994.00	146105.00	4908.00	11185.00	33000.00	97012.00	686.00	562.00	0.00	54.00	9090.00	79728.00	6892.00	0.00	0.00	0.00	0.00	86620.00
Senegal	SEN	Sub-Saharan Africa	Low income	11658172.00	13654.00	10825.00	-311.00	1520.00	1621.00	584.00	258.00	496.00	175.00	102.00	0.00	2.00	0.00	0.00	0.00	4.00	6.00
Serbia	SRB	Europe & Central Asia	Upper middle income	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Seychelles	SYC	Sub-Saharan Africa	Upper middle income	84494.00	163767.00	140950.00	-12804.00	33767.00	1854.00	348.00	36.00	0.00	113.00	1357.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Sierra Leone	SLE	Sub-Saharan Africa	Low income	5525478.00	4025.00	2717.00	-306.00	251.00	1363.00	991.00	51.00	201.00	112.00	8.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Singapore	SGP	East Asia & Pacific	High income: nonOECD	4341800.00	300975.00	164849.00	54719.00	81405.00	2.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Slovak Republic	SVK	Europe & Central Asia	High income: OECD	5387000.00	142373.00	110263.00	-4824.00	31954.00	4979.00	1491.00	929.00	146.00	121.00	2190.00	17.00	60.00	0.00	26.00	26.00	0.00	102.00
Slovenia	SVN	Europe & Central Asia	High income: nonOECD	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Solomon Islands	SLB	East Asia & Pacific	Lower middle income	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Somalia	SOM	Sub-Saharan Africa	Low income	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
South Africa	ZAF	Sub-Saharan Africa	Upper middle income	46888200.00	86199.00	70157.00	-768.00	11087.00	5723.00	1915.00	985.00	89.00	47.00	93.00	89.00	122.00	1675.00	0.00	1675.00	709.00	2595.00
Spain	ESP	Europe & Central Asia	High income: OECD	43398150.00	408385.00	330718.00	-11999.00	82194.00	7471.00	4004.00	1883.00	116.00	315.00	1095.00	9.00	14.00	20.00	12.00	32.00	3.00	58.00
Sri Lanka	LKA	South Asia	Lower middle income	19625384.00	21640.00	16670.00	-476.00	3371.00	2075.00	1185.00	170.00	58.00	21.00	640.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
St. Kitts and Nevis	KNA	Latin America & Caribbean	Upper middle income	48000.00	132194.00	96045.00	-17047.00	48800.00	4395.00	4370.00	0.00	0.00	25.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
St. Lucia	LCA	Latin America & Caribbean	Upper middle income	164791.00	92122.00	81493.00	-6176.00	16781.00	25.00	..	0.00	0.00	25.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
St. Vincent and the Grenadines	VCT	Latin America & Caribbean	Upper middle income	119051.00	59553.00	50152.00	-5847.00	12183.00	3065.00	2298.00	144.00	0.00	24.00	599.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Sudan	SDN	Sub-Saharan Africa	Lower middle income	36232945.00	12148.00	4632.00	-890.00	1495.00	6911.00	1082.00	2878.00	381.00	722.00	295.00	1550.00	0.00	0.00	0.00	0.00	4.00	1554.00
Suriname	SUR	Latin America & Caribbean	Upper middle income	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Swaziland	SWZ	Sub-Saharan Africa	Lower middle income	1131000.00	40393.00	23063.00	865.00	5885.00	10580.00	9714.00	346.00	379.00	124.00	17.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Sweden	SWE	Europe & Central Asia	High income: OECD	9024040.00	627950.00	528122.00	-8333.00	92488.00	15673.00	1109.00	1679.00	3508.00	1728.00	7284.00	0.00	0.00	0.00	0.00	0.00	366.00	366.00
Switzerland	CHE	Europe & Central Asia	High income: OECD	7437100.00	736795.00	506613.00	55211.00	165561.00	9411.00	845.00	4590.00	299.00	155.00	3521.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Syrian Arab Republic	SYR	Middle East & North Africa	Lower middle income	19043382.00	20369.00	8126.00	625.00	3709.00	7909.00	1709.00	1468.00	5.00	7.00	63.00	3853.00	804.00	0.00	0.00	0.00	0.00	4657.00
Tajikistan	TJK	Europe & Central Asia	Low income	6550213.00	6687.00	4052.00	-219.00	1093.00	1762.00	764.00	522.00	0.00	15.00	434.00	10.00	13.00	4.00	0.00	4.00	0.00	27.00
Tanzania	TZA	Sub-Saharan Africa	Low income	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Thailand	THA	East Asia & Pacific	Lower middle income	64232758.00	37765.00	21150.00	-905.00	9711.00	7810.00	4014.00	201.00	92.00	52.00	2813.00	108.00	499.00	0.00	27.00	27.00	3.00	638.00
Timor-Leste	TMP	East Asia & Pacific	Lower middle income	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Togo	TGO	Sub-Saharan Africa	Low income	6145004.00	6616.00	5050.00	-339.00	794.00	1110.00	796.00	60.00	200.00	11.00	39.00	0.00	0.00	0.00	0.00	0.00	5.00	5.00
Tonga	TON	East Asia & Pacific	Lower middle income	102311.00	55876.00	18704.00	-1184.00	5440.00	32916.00	4322.00	113.00	0.00	9.00	28471.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Trinidad and Tobago	TTO	Latin America & Caribbean	High income: nonOECD	1305236.00	116119.00	50746.00	-4731.00	24826.00	45278.00	332.00	81.00	64.00	77.00	238.00	11548.00	32938.00	0.00	0.00	0.00	0.00	44486.00
Tunisia	TUN	Middle East & North Africa	Lower middle income	10029000.00	47389.00	37467.00	-2912.00	8420.00	4413.00	1900.00	1004.00	184.00	222.00	51.00	1042.00	0.00	0.00	0.00	0.00	10.00	1051.00
Turkey	TUR	Europe & Central Asia	Upper middle income	72065000.00	114830.00	97993.00	-2414.00	13895.00	5356.00	3190.00	1351.00	262.00	35.00	310.00	122.00	21.00	0.00	35.00	35.00	30.00	208.00
Turkmenistan	TKM	Europe & Central Asia	Lower middle income	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Uganda	UGA	Sub-Saharan Africa	Low income	28816229.00	5957.00	2165.00	-165.00	585.00	3372.00	2485.00	299.00	6.00	25.00	558.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Ukraine	UKR	Europe & Central Asia	Lower middle income	47075295.00	29322.00	15485.00	-311.00	7250.00	6899.00	2699.00	1856.00	58.00	49.00	266.00	238.00	1156.00	576.00	1.00	577.00	0.00	1970.00
United Arab Emirates	ARE	Middle East & North Africa	High income: nonOECD	4533145.00	349698.00	108922.00	46914.00	72873.00	120989.00	1846.00	401.00	0.00	31.00	600.00	92129.00	25982.00	0.00	0.00	0.00	0.00	118111.00
United Kingdom	GBR	Europe & Central Asia	High income: OECD	60226500.00	662624.00	578791.00	-7290.00	84861.00	6263.00	823.00	1332.00	159.00	49.00	815.00	1793.00	1272.00	20.00	0.00	20.00	0.00	3085.00
United States	USA	North America	High income: OECD	296410404.00	734195.00	627246.00	-6947.00	100075.00	13822.00	2598.00	2827.00	831.00	462.00	3625.00	1428.00	1540.00	404.00	13.00	417.00	92.00	3478.00
Uruguay	URY	Latin America & Caribbean	Upper middle income	3305723.00	86684.00	69522.00	-869.00	9743.00	8288.00	2372.00	3581.00	2193.00	123.00	19.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Uzbekistan	UZB	Europe & Central Asia	Low income	26167369.00	5316.00	-3887.00	8.00	1543.00	7652.00	1082.00	1073.00	0.00	32.00	101.00	326.00	5030.00	0.00	9.00	9.00	0.00	5365.00
Vanuatu	VUT	East Asia & Pacific	Lower middle income	211367.00	28900.00	17535.00	-853.00	5267.00	6951.00	5516.00	543.00	143.00	498.00	251.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"Venezuela, RB"	VEN	Latin America & Caribbean	Upper middle income	26577000.00	69795.00	22134.00	1231.00	15863.00	30567.00	1514.00	867.00	551.00	408.00	3136.00	20928.00	2741.00	25.00	0.00	25.00	397.00	24090.00
Vietnam	VNM	East Asia & Pacific	Low income	83104900.00	9374.00	4196.00	-303.00	1851.00	3630.00	2030.00	55.00	408.00	101.00	152.00	724.00	138.00	20.00	0.00	20.00	1.00	884.00
Virgin Islands (U.S.)	VIR	Latin America & Caribbean	High income: nonOECD	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
West Bank and Gaza	WBG	Middle East & North Africa	Lower middle income	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Yemen, Rep."	YEM	Middle East & North Africa	Low income	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Zambia	ZMB	Sub-Saharan Africa	Low income	11668457.00	9678.00	6961.00	-907.00	1482.00	2142.00	286.00	96.00	486.00	799.00	100.00	0.00	0.00	7.00	0.00	7.00	367.00	374.00
Zimbabwe	ZWE	Sub-Saharan Africa	Low income	13009534.00	4988.00	2537.00	-341.00	827.00	1965.00	1049.00	235.00	247.00	280.00	79.00	0.00	0.00	53.00	0.00	53.00	22.00	75.00
