"County" "State" "pop_estimate" "over65" "females_percent" "white" "births" "deaths" "high_scl" "bachelor" "household_size" "per_capita_inc" "perc_poverty" "unemployment_rate" "govt_employed" "Birth_factor" "Poverty_factor"
"2035" "Tompkins" "New York" 101136 9.799675684 49.9 83.52119918 0.843418763 0.554698624 91.4 47.5 2.32 19659 19.2 4.1 6.775035596 "Low" "High"
"2036" "Ulster" "New York" 181670 13.94121209 50.1 89.76826113 1.031540706 0.811361259 81.7 25 2.47 20846 11.2 5.5 8.125722464 "Low" "Medium"
"2037" "Warren" "New York" 65971 16.81647997 51.1 96.94562762 0.894332358 0.953449243 84.6 23.2 2.41 20727 9.7 5.8 7.817071137 "Low" "Low"
"2038" "Washington" "New York" 62804 15.01655945 48.5 95.08630024 1.023820139 0.902808738 79.2 14.3 2.55 17958 11.6 5.5 9.236672823 "Low" "Medium"
"2039" "Wayne" "New York" 91564 13.51186056 50.6 94.37770303 1.243938666 0.87698222 82.3 17 2.64 19258 11.3 5.9 9.013367699 "Medium" "Medium"
"2040" "Westchester" "New York" 953943 14.23911072 51.7 77.51081564 1.252171251 0.744174442 83.6 40.9 2.67 36726 7.7 4.8 7.081869671 "Medium" "Low"
"2041" "Wyoming" "New York" 41652 13.30068184 45.5 92.49735907 0.919523672 0.799481417 75.6 11.5 2.62 17248 9.6 6.3 10.80860463 "Low" "Low"
"2042" "Yates" "New York" 24652 16.65179296 51.2 97.82979069 1.281843258 0.90459192 80 18.2 2.59 16781 15.8 4.9 5.508680837 "Medium" "Medium"
"2523" "Anderson" "Texas" 56838 12.44589887 39.5 75.05542067 1.169991907 1.046834864 64.4 11.1 2.58 13838 18.9 5.7 9.852563426 "Medium" "High"
"2524" "Andrews" "Texas" 13645 12.29754489 50.5 94.93587395 1.692927812 0.916086479 68 12.4 2.81 15916 15.3 3.4 8.81641627 "High" "Medium"
"2525" "Angelina" "Texas" 83038 14.14773959 50.8 82.98730702 1.645029986 0.947758857 71.2 14.7 2.7 15876 19.3 4.9 8.30704015 "High" "High"
"2526" "Aransas" "Texas" 24900 23.94779116 50.9 93.63453815 1.068273092 1.232931727 74.6 16.7 2.43 18560 18.2 4.5 4.425702811 "Medium" "Medium"
"2527" "Archer" "Texas" 9119 15.19903498 49.9 96.43601272 0.877289176 0.800526374 81.1 15.9 2.63 19300 8.1 3.8 6.075227547 "Low" "Low"
"2528" "Armstrong" "Texas" 2123 21.149317 51.7 97.50353274 1.224682054 1.177578898 82.4 20.5 2.58 17151 9.5 3.6 6.877060763 "Medium" "Low"
"2529" "Atascosa" "Texas" 43877 11.70772842 50.6 96.4605602 1.479134854 0.701962304 65.2 10.5 2.99 14276 18.1 4.7 5.620256626 "Medium" "Medium"
"2530" "Austin" "Texas" 26851 14.56184127 50.3 88.58887937 1.31093814 0.979479349 74.5 17.3 2.67 18140 10.9 4.3 7.165468698 "Medium" "Medium"
"2531" "Bailey" "Texas" 6279 14.23793598 50.6 95.84328715 2.086319478 1.05112279 61.5 9.3 2.78 12979 19.8 4.2 10.35196687 "High" "High"
"2532" "Bandera" "Texas" 20303 17.42107078 50.5 96.51283062 0.857016205 0.886568487 84.8 19.4 2.49 19635 13.4 4.4 4.05851352 "Low" "Medium"
"2533" "Bastrop" "Texas" 73491 10.88704739 48.9 88.5972432 1.366153679 0.681716129 76.9 17 2.77 18146 12.6 4.9 5.661917786 "Medium" "Medium"
"2534" "Baylor" "Texas" 3737 23.09339042 52 93.39042012 1.418249933 1.3914905 70.1 12.1 2.26 16384 18.1 3.8 7.653197752 "Medium" "Medium"
"2535" "Bee" "Texas" 32661 11.30400171 39.6 87.03652674 1.337987202 0.649092189 73.7 12.2 2.74 10625 22.5 6.3 10.48038946 "Medium" "High"
"2536" "Bell" "Texas" 285084 9.046807257 50.5 70.42906652 2.148138794 0.596315472 84.7 19.8 2.68 17219 13.6 4.9 27.30283004 "High" "Medium"
"2537" "Bexar" "Texas" 1622899 10.23470962 51.1 87.0799107 1.633003656 0.656972492 76.9 22.7 2.78 18363 16.4 4.7 10.03907206 "High" "Medium"
"2538" "Blanco" "Texas" 9082 10.7465316 49.9 96.3774499 1.167143801 0.979960361 80.6 22.2 2.5 19721 10.6 3.8 6.099977978 "Medium" "Medium"
"2539" "Borden" "Texas" 593 16.35750422 49.6 97.97639123 0.505902192 0.84317032 83.9 21.4 2.5 18364 8 3.2 15.34569983 "Low" "Low"
"2540" "Bosque" "Texas" 17760 20.4786036 50.9 95.28716216 1.036036036 1.362612613 75.9 15.4 2.48 17455 19.6 4.7 6.987612613 "Low" "High"
"2541" "Bowie" "Texas" 92283 13.33073264 49.4 72.40770239 1.352361757 0.962257404 77.3 16.1 2.5 17357 17.9 5.1 11.6381132 "Medium" "Medium"
"2542" "Brazoria" "Texas" 301044 9.205963248 48.7 82.15044977 1.600098324 0.610874158 79.5 19.6 2.82 20021 9.8 5.2 5.804799298 "High" "Low"
"2543" "Brazos" "Texas" 175122 7.468507669 48.9 83.10263702 1.420152808 0.443690684 81.3 37 2.52 16212 26.2 3.9 17.91665239 "Medium" "High"
"2544" "Brewster" "Texas" 9331 15.29310899 49.8 94.43789519 1.350337584 0.707319687 78.6 27.7 2.31 15183 17.3 3.7 16.46125817 "Medium" "Medium"
"2545" "Briscoe" "Texas" 1462 21.13543092 50.9 95.00683995 1.504787962 1.162790698 74.8 17.5 2.47 14218 15.5 4.2 8.755129959 "Medium" "Medium"
"2546" "Brooks" "Texas" 7549 16.71744602 52.2 98.43687906 1.854550272 1.125976951 49.9 6.8 2.92 10234 30.2 5.4 10.45171546 "High" "High"
"2547" "Brown" "Texas" 38379 16.83212173 50.5 93.35053024 1.347090857 1.190755361 74.6 15 2.48 15624 18.9 4.5 7.94965997 "Medium" "High"
"2548" "Burleson" "Texas" 16610 17.50752559 51.2 84.19024684 1.288380494 0.987357014 71.1 13.2 2.57 16616 15.6 4.4 6.044551475 "Medium" "Medium"
"2549" "Burnet" "Texas" 44488 23.23772703 51.8 95.56509621 1.175597914 0.874393095 77.8 17.4 2.53 18850 10 4 5.644218666 "Medium" "Low"
"2550" "Caldwell" "Texas" 36899 12.08162823 50.6 89.98888859 1.439063389 0.79405946 71.3 13.3 2.82 15099 16.7 5.2 4.897151684 "Medium" "Medium"
"2551" "Calhoun" "Texas" 20406 14.76526512 49.9 91.52210134 1.494658434 0.975203372 69 12.1 2.75 17125 15.7 4.9 7.630108792 "Medium" "Medium"
"2552" "Callahan" "Texas" 13533 18.27384911 51.7 95.83979901 1.174905786 1.160127097 79.3 12.3 2.53 15204 13.3 3.7 5.453336289 "Medium" "Medium"
"2553" "Cameron" "Texas" 392736 11.5026379 52.1 96.9111566 2.202242728 0.520196773 55.2 13.4 3.4 10960 34.3 6.8 7.40090035 "High" "High"
"2554" "Camp" "Texas" 12666 15.60871625 51.1 80.06474025 1.571135323 1.073740723 69.5 12.2 2.62 16500 17.5 5 5.155534502 "High" "Medium"
"2555" "Carson" "Texas" 6251 17.35722284 51.1 96.35258359 1.055831067 1.119820829 82.6 15.5 2.6 19368 8.5 3.4 10.89425692 "Low" "Low"
"2556" "Cass" "Texas" 29284 19.21527114 51.9 79.09097118 1.232755088 1.239584756 75 12 2.46 15777 19.3 6.2 7.212129491 "Medium" "High"
"2557" "Castro" "Texas" 7129 14.30775705 49.6 94.36106046 1.823537663 0.757469491 65.4 14.7 2.98 14457 20.1 3.7 9.426286997 "High" "High"
"2558" "Chambers" "Texas" 29356 9.565335877 49.7 86.6228369 1.43411909 0.623381932 76.9 12.1 2.82 19863 8.6 5.8 6.43820684 "Medium" "Low"
"2559" "Cherokee" "Texas" 48321 14.49473314 49.2 82.88321848 1.547981209 0.945758573 68.4 11.4 2.63 13980 18.6 6 8.772583349 "Medium" "Medium"
"2560" "Childress" "Texas" 7536 13.85350318 39.7 81.60828025 1.127919321 1.048301486 65 8.6 2.4 12452 23.8 5.1 15.23354565 "Medium" "High"
"2561" "Clay" "Texas" 10888 14.70426157 51.2 96.21601763 0.945995591 0.927626745 80.4 13.9 2.52 16361 12 4 5.538207201 "Low" "Medium"
"2562" "Cochran" "Texas" 2977 14.41048035 52.7 91.23278468 2.183406114 0.940544172 62.7 10.2 2.79 13125 24.2 4.8 12.69734632 "High" "High"
"2563" "Coke" "Texas" 3480 28.70689655 50.8 96.40804598 0.689655172 1.810344828 74.2 14.7 2.31 16734 13.9 7.7 12.29885057 "Low" "Medium"
"2564" "Coleman" "Texas" 8577 22.25719949 51.8 94.89331934 1.130931561 1.842135945 71 11.7 2.33 14911 22 4 9.000816136 "Medium" "High"
"2565" "Collin" "Texas" 762010 7.189931891 49.8 79.70905894 1.421634887 0.327554756 91.8 47.3 2.68 33345 6.2 4.6 4.775002953 "Medium" "Low"
"2566" "Collingsworth" "Texas" 2985 18.62646566 51 89.48073702 1.641541039 1.340033501 71.3 15.3 2.44 15318 19.5 3.9 9.112227806 "High" "High"
"2567" "Colorado" "Texas" 20734 19.1424713 51 83.74650333 1.302208932 1.104466094 69.1 14.4 2.56 16910 14.9 4 5.266711681 "Medium" "Medium"
"2568" "Comal" "Texas" 109635 13.81949195 50.5 95.02622338 1.112783326 0.69503352 83.9 26.2 2.64 21914 9.8 4.1 4.599808455 "Medium" "Low"
"2569" "Comanche" "Texas" 13483 20.44055477 51 96.87754951 1.438848921 1.431432174 70.2 13 2.48 14677 17.6 3.9 7.913669065 "Medium" "Medium"
"2570" "Concho" "Texas" 3610 13.68421053 33.2 97.39612188 1.108033241 0.720221607 59.3 14.1 2.45 15727 23.7 5.3 7.728531856 "Medium" "High"
"2571" "Cooke" "Texas" 38407 14.98945505 50.4 93.35277423 1.580441065 0.999817742 79.2 15.7 2.6 17889 13.8 3.5 7.732965345 "High" "Medium"
"2572" "Coryell" "Texas" 72654 6.474523082 49.5 72.85765409 1.383268643 0.503757536 81.1 12.4 2.91 14410 15.3 6.1 8.506069865 "Medium" "Medium"
"2573" "Cottle" "Texas" 1617 26.28324057 51.9 87.32220161 0.556586271 2.226345083 66.1 15.3 2.28 16212 21 4 9.461966605 "Low" "High"
"2574" "Crane" "Texas" 4017 11.45133184 51 94.22454568 1.493651979 0.995767986 68.7 12.8 2.91 15374 10.4 4.1 9.111277072 "Medium" "Low"
"2575" "Crockett" "Texas" 3802 14.28195686 50.7 96.81746449 1.683324566 0.78905839 62.1 10.4 2.65 14414 15 2.9 12.17780116 "High" "Medium"
"2576" "Crosby" "Texas" 6192 15.31007752 52 93.18475452 1.760335917 1.275839793 61.8 10.5 2.78 14445 24.1 4.9 8.947028424 "High" "High"
"2577" "Culberson" "Texas" 2431 15.54915673 50.7 97.03825586 1.357466063 0.699300699 56.1 13.9 2.82 11493 24.3 3 16.12505142 "Medium" "High"
"2578" "Dallam" "Texas" 6267 10.81857348 49.6 94.54284347 1.930748364 1.005265677 65 9.6 2.68 13653 13.2 3 9.573958832 "High" "Medium"
"2579" "Dallas" "Texas" 2412827 8.59522875 49.3 72.48683805 1.818820827 0.577040957 75 27 2.71 22603 16.9 5.4 7.096779007 "High" "Medium"
"2580" "Dawson" "Texas" 13692 13.68682442 44 88.83289512 1.460706982 0.964066608 65.2 10.5 2.69 15011 25.5 5.4 11.4227286 "Medium" "High"
"2581" "DeWitt" "Texas" 19596 17.26883037 48.1 86.50234742 1.337007553 1.352316799 67.9 11.8 2.53 14780 19.4 4.2 11.58399673 "Medium" "High"
"2582" "DeafSmith" "Texas" 18501 12.5344576 50.9 95.78401168 2.05394303 0.805361872 60.9 11.8 2.96 13119 20.8 3.8 7.367169342 "High" "High"
"2583" "Delta" "Texas" 5458 17.77207768 51.1 89.62990106 1.099303774 1.28252107 75.5 13.9 2.49 15080 17.7 5.3 6.174422866 "Medium" "Medium"
"2584" "Denton" "Texas" 636557 5.826815195 50 83.66901943 1.476851248 0.346394745 89.4 36.6 2.67 26895 7.1 4.5 4.986513384 "Medium" "Low"
"2585" "Dickens" "Texas" 2450 19.55102041 41.7 88.08163265 0.775510204 1.346938776 70.6 8.4 2.29 13156 23.8 4.4 8.857142857 "Low" "High"
"2586" "Dimmit" "Texas" 9758 12.64603402 51.8 96.35171142 1.742160279 0.850584136 54.3 10.1 3.06 9765 32.7 6.7 12.492314 "High" "High"
"2587" "Donley" "Texas" 3850 23.32467532 51.2 91.97402597 1.038961039 1.324675325 78.2 15.8 2.3 15958 16.6 4.2 12.72727273 "Low" "Medium"
"2588" "Duval" "Texas" 12033 15.00041552 49.3 97.63982382 1.520817751 0.980636583 59.7 8.9 2.88 11324 26.9 5.4 10.69558714 "Medium" "High"
"2589" "Eastland" "Texas" 18186 19.35004949 51.7 95.10062686 1.347190146 1.303200264 72.6 12.7 2.39 14870 18.5 4.6 8.259100407 "Medium" "Medium"
"2590" "Ector" "Texas" 131941 10.85712553 51 92.1715009 1.887207161 0.851895923 68 12 2.72 15031 15.5 3.4 7.228988715 "High" "Medium"
"2591" "Edwards" "Texas" 1952 8.606557377 48.3 94.56967213 1.43442623 0.922131148 67.1 17.3 2.66 12691 24.8 3.8 10.75819672 "Medium" "High"
"2592" "ElPaso" "Texas" 742062 10.65247917 51.9 92.60452631 1.928140775 0.590786215 65.8 16.6 3.18 13421 28.4 6.3 10.57943945 "High" "High"
"2593" "Ellis" "Texas" 148186 9.484026831 50.1 87.56225284 1.472473783 0.60262103 77.8 17.1 2.96 20212 10.7 5.1 4.692076175 "Medium" "Medium"
"2594" "Erath" "Texas" 35870 12.59269585 50.4 95.94647338 1.474770003 0.906049624 77.1 25 2.48 16655 15.8 3.8 10.12824087 "Medium" "Medium"
"2595" "Falls" "Texas" 16900 16.28402367 54.2 71.29585799 1.236686391 1.461538462 66.2 9.6 2.54 14311 27.7 5.8 11.17751479 "Medium" "High"
"2596" "Fannin" "Texas" 33229 17.17174757 46.9 89.26841012 1.266965602 1.405398899 72.5 12.6 2.51 16066 16.5 5.9 7.189503145 "Medium" "Medium"
"2597" "Fayette" "Texas" 22698 21.82130584 51.2 91.09613182 1.167503745 1.356947749 71.3 14.6 2.44 18888 12.4 3.5 7.568948806 "Medium" "Medium"
"2598" "Fisher" "Texas" 3912 21.54907975 51.2 94.27402863 1.04805726 1.584867076 73.3 12.4 2.39 15120 16.1 3.9 8.921267894 "Low" "Medium"
"2599" "Floyd" "Texas" 6455 17.38187452 51.5 92.98218435 1.53369481 1.161890008 63.5 12.3 2.79 14206 22 4.7 9.403563129 "Medium" "High"
"2600" "Foard" "Texas" 1361 22.55694342 51.8 93.24026451 1.102130786 1.616458486 70 10.5 2.38 14799 18.1 4 9.037472447 "Medium" "Medium"
"2601" "FortBend" "Texas" 532141 6.629258035 50.1 62.38947948 1.335736205 0.365316711 84.3 36.9 3.14 24985 8.4 4.5 4.320847294 "Medium" "Low"
"2602" "Franklin" "Texas" 11001 19.15280429 51.1 92.69157349 1.363512408 1.054449595 77.4 16.2 2.48 17563 14.4 4.3 3.954185983 "Medium" "Medium"
"2603" "Freestone" "Texas" 18923 14.77038525 47 80.65845796 1.289436136 1.02520742 76.8 10.9 2.48 16338 13.6 4.1 7.419542356 "Medium" "Medium"
"2604" "Frio" "Texas" 16163 11.90373074 45.2 92.53851389 1.521994679 0.791932191 57.7 8.4 2.98 16069 28.9 5.5 8.302914063 "Medium" "High"
"2605" "Gaines" "Texas" 15081 10.93428818 50.3 95.14621046 1.982627147 0.722763742 56.2 10.5 3.07 13088 18.3 3.9 8.75273523 "High" "Medium"
"2606" "Galveston" "Texas" 288239 10.70569909 50.9 80.83361377 1.431450983 0.816683377 80.9 22.7 2.6 21568 12.4 5.8 10.36466266 "Medium" "Medium"
"2607" "Garza" "Texas" 4628 14.75799481 46.8 91.72428695 1.663785653 0.950734659 70.1 10 2.65 12704 21 3.8 9.377700951 "High" "High"
"2608" "Gillespie" "Texas" 23782 25.78420654 52.2 97.98587167 1.034395762 1.135312421 80.1 22.9 2.38 20423 9.9 3.1 4.890253133 "Low" "Low"
"2609" "Glasscock" "Texas" 1212 11.38613861 47.4 98.67986799 0.742574257 0.330033003 69.9 18.7 2.91 18279 10.3 3.7 10.97359736 "Low" "Low"
"2610" "Goliad" "Texas" 7152 18.56823266 50.3 92.86912752 1.048657718 1.090604027 72.4 12.3 2.57 17126 15.8 3.8 7.074944072 "Low" "Medium"
"2611" "Gonzales" "Texas" 19155 15.37457583 50.2 88.69746802 1.842860872 0.976246411 62 10.7 2.69 14269 18.6 4 7.695118768 "High" "Medium"
"2612" "Gray" "Texas" 22248 17.86677454 48.9 89.84178353 1.532722042 1.312477526 75.3 11.9 2.39 16702 15.1 3.5 6.939949658 "Medium" "Medium"
"2613" "Grayson" "Texas" 118804 15.08871755 51.2 89.80084846 1.310561934 1.086663749 80.2 17.2 2.51 18862 12.6 5.3 5.512440659 "Medium" "Medium"
"2614" "Gregg" "Texas" 117528 13.60867198 51.3 76.89401674 1.764685862 0.99295487 79.1 19.5 2.54 18449 16.2 4 6.667347356 "High" "Medium"
"2615" "Grimes" "Texas" 25895 14.26916393 46.5 80.0077235 1.270515544 0.722147133 67.3 10.3 2.69 14368 16.8 5.2 7.796871983 "Medium" "Medium"
"2616" "Guadalupe" "Texas" 117172 12.05407435 50.6 89.93957601 1.269927969 0.625576076 78.1 19.1 2.83 18430 9.6 4.4 5.073737753 "Medium" "Low"
"2617" "Hale" "Texas" 35234 12.53618664 49.2 91.00868479 1.725605949 0.859964807 65.9 14.4 2.86 13655 18 4.6 7.489924505 "High" "Medium"
"2618" "Hall" "Texas" 3400 21 52.2 88.44117647 1.176470588 1.529411765 61.7 10.3 2.42 13210 26.3 5.6 9.588235294 "Medium" "High"
"2619" "Hamilton" "Texas" 8092 22.8744439 51.2 97.80029659 1.28521997 1.631240732 73.8 16.8 2.37 16800 14.6 3.6 8.205635195 "Medium" "Medium"
"2620" "Hansford" "Texas" 5280 14.26136364 50.1 97.61363636 1.571969697 0.852272727 69.9 18.6 2.63 17408 13.5 3.2 10.64393939 "High" "Medium"
"2621" "Hardeman" "Texas" 3984 18.54919679 52.2 91.31526104 1.280120482 1.004016064 70.7 12.8 2.4 16824 16.8 3.6 12.70080321 "Medium" "Medium"
"2622" "Hardin" "Texas" 52143 12.50023973 50.7 91.27974992 1.307941622 0.930134438 79.5 13 2.68 17962 11.2 5.5 5.078342251 "Medium" "Medium"
"2623" "Harris" "Texas" 3984349 7.941046329 49.8 73.54313089 1.762220127 0.51802691 74.6 26.9 2.79 21435 16.3 4.8 6.461607655 "High" "Medium"
"2624" "Harrison" "Texas" 63594 12.90530553 51.1 75.46152153 1.34761141 0.926188005 78.3 15.4 2.62 16702 16.5 4.7 5.728527849 "Medium" "Medium"
"2625" "Hartley" "Texas" 5162 9.899263851 38 89.46144905 1.452925223 1.104223169 77.3 17.6 2.56 18067 10.8 3.3 11.17783805 "Medium" "Medium"
"2626" "Haskell" "Texas" 5216 26.51457055 53.3 93.34739264 1.150306748 1.476226994 71.1 14.4 2.33 14918 21 3.3 9.279141104 "Medium" "High"
"2627" "Hays" "Texas" 149476 7.52696085 49.7 92.18804357 1.2410019 0.442211459 84.7 31.3 2.69 19931 13.7 4.3 8.134416227 "Medium" "Medium"
"2628" "Hemphill" "Texas" 3472 16.10023041 49.7 96.57258065 1.699308756 1.123271889 79.9 17.9 2.5 16929 9.1 2 11.03110599 "High" "Low"
"2629" "Henderson" "Texas" 78814 18.54619738 50.8 91.29850027 1.305605603 1.136853858 73.5 12.1 2.5 17772 15.5 5.4 4.543609003 "Medium" "Medium"
"2630" "Hidalgo" "Texas" 726604 9.702809233 51.3 96.67026331 2.354927856 0.456369632 50.5 12.9 3.6 9899 34 7.3 7.058177494 "High" "High"
"2631" "Hill" "Texas" 35637 16.79153689 50.4 90.56317872 1.332884362 1.240283975 71.8 12.5 2.58 15514 16.9 5.1 6.591463928 "Medium" "Medium"
"2632" "Hockley" "Texas" 22205 12.67732493 51 93.5194776 1.54469714 0.918712002 68.2 13.6 2.77 15022 17.1 3.8 8.700743076 "Medium" "Medium"
"2633" "Hood" "Texas" 50573 19.35024618 50.8 96.25294129 1.176517114 1.07369545 83.5 20.5 2.5 22261 10.7 4.2 4.401558144 "Medium" "Medium"
"2634" "Hopkins" "Texas" 33804 14.01017631 50.5 89.82960596 1.541237723 0.917051237 73.6 15.1 2.56 17182 14.6 4.2 7.182581943 "Medium" "Medium"
"2635" "Houston" "Texas" 22698 19.05894792 46.2 72.44250595 1.237994537 1.220371839 70 12.2 2.44 14525 24 6.6 9.432549123 "Medium" "High"
"2636" "Howard" "Texas" 32537 14.2822018 45.6 92.3994222 1.43836248 1.143313766 70.6 11.1 2.53 15027 25.9 4.6 11.45772505 "Medium" "High"
"2637" "Hudspeth" "Texas" 3137 14.95058974 50.9 96.4615875 1.115715652 0.541919031 46.1 9.7 3.03 9549 32.4 4.1 17.40516417 "Medium" "High"
"2638" "Hunt" "Texas" 82805 13.52816859 50.1 87.89203551 1.46005676 0.958879295 76.9 16.8 2.6 17554 16.4 5.3 8.988587646 "Medium" "Medium"
"2639" "Hutchinson" "Texas" 21512 15.23335813 50.9 92.91093343 1.343436222 1.199330606 79.6 14.3 2.54 17317 13.6 4.2 8.460394199 "Medium" "Medium"
"2640" "Irion" "Texas" 1699 15.891701 49.9 95.1147734 0.470865215 0.765155974 78.8 21.5 2.55 20515 8.1 3.5 7.769276045 "Low" "Low"
"2641" "Jack" "Texas" 8793 16.9452974 45.3 91.57284203 1.034914136 1.103150233 75.8 12.8 2.52 15210 13 3.3 7.039690663 "Low" "Medium"
"2642" "Jackson" "Texas" 14146 16.00452425 50.7 90.13148593 1.41382723 1.116923512 72.7 12.8 2.65 16693 14.6 4.1 7.938639898 "Medium" "Medium"
"2643" "Jasper" "Texas" 34374 16.39029499 51.3 80.38052016 1.329493222 1.079304125 73 10.5 2.58 15636 20.8 6.5 6.589282597 "Medium" "High"
"2644" "JeffDavis" "Texas" 2275 19.47252747 48.9 97.67032967 1.010989011 0.659340659 74.7 35.1 2.39 18846 13.1 3.7 12.79120879 "Low" "Medium"
"2645" "Jefferson" "Texas" 243090 13.37611584 49.4 61.0185528 1.464478177 1.032128018 78.5 16.3 2.55 17571 17.1 6.8 7.839071949 "Medium" "Medium"
"2646" "JimHogg" "Texas" 5016 16.3277512 51 97.96650718 1.933811802 0.857256778 58 9.5 2.89 12185 22.8 3.9 12.34051037 "High" "High"
"2647" "JimWells" "Texas" 41069 12.93433003 51.3 97.14139619 1.762886849 0.830309966 64.8 10.9 2.99 12252 22.1 4.3 6.080011688 "High" "High"
"2648" "Johnson" "Texas" 153630 10.50901517 49.9 93.24090347 1.347393087 0.70038404 77.6 13.8 2.85 18400 11.3 4.7 4.676170019 "Medium" "Medium"
"2649" "Jones" "Texas" 19197 14.01781528 38.4 84.91951867 0.948064802 0.953273949 64.3 8.2 2.58 13656 20.6 5 7.730374538 "Low" "High"
"2650" "Karnes" "Texas" 15051 13.58713707 40.6 86.35306624 1.222510132 1.029831905 59.1 9.4 2.66 13603 26.5 6.1 10.3979802 "Medium" "High"
"2651" "Kaufman" "Texas" 100527 9.100042775 50.4 86.56281397 1.479204592 0.759994827 74.5 12.3 2.87 18827 11 5.4 6.212261383 "Medium" "Medium"
"2652" "Kendall" "Texas" 32886 15.71185307 50.7 96.55780575 0.92744633 0.924405522 85.4 31.4 2.7 24619 8.6 3.8 5.646779785 "Low" "Low"
"2653" "Kenedy" "Texas" 388 13.1443299 48.2 96.64948454 1.546391753 0.515463918 57.9 20.3 2.97 17959 15.9 3.3 21.13402062 "Medium" "Medium"
"2654" "Kent" "Texas" 708 25.28248588 51.8 99.01129944 0.706214689 2.542372881 78.1 15.1 2.33 17626 9.1 4.5 29.0960452 "Low" "Low"
"2655" "Kerr" "Texas" 48269 25.77637821 51.9 95.58308645 1.218173155 1.375624107 81.2 23.3 2.35 19767 16.4 4 6.944415671 "Medium" "Medium"
"2656" "Kimble" "Texas" 4432 20.93862816 51.1 97.81137184 1.398916968 1.66967509 72.1 17.3 2.37 17127 17.8 3.8 8.935018051 "Medium" "Medium"
"2657" "King" "Texas" 281 9.252669039 45.2 95.01779359 1.067615658 0.355871886 78.1 24.6 2.77 12321 15.2 4.2 27.04626335 "Low" "Medium"
"2658" "Kinney" "Texas" 3233 27.00278379 49.7 94.86545005 0.989792762 1.020723786 66.9 17.7 2.55 15350 21.2 5.4 12.55799567 "Low" "High"
"2659" "Kleberg" "Texas" 30739 11.47402323 49.7 91.57096848 1.616838544 0.657145646 68.2 20.4 2.78 13542 24.4 4.3 16.16513224 "High" "High"
"2660" "Knox" "Texas" 3393 22.45800177 52.7 87.3268494 1.119952844 1.503094607 66.8 11.8 2.44 13443 20.3 3.9 12.93840259 "Medium" "High"
"2661" "LaSalle" "Texas" 5861 12.50639823 46.7 94.91554342 1.45026446 0.870158676 50.1 6.4 2.89 9692 28.8 5.6 11.38031053 "Medium" "High"
"2662" "Lamar" "Texas" 49286 16.82425029 52.2 83.42734245 1.314774987 1.154486061 76.3 14.5 2.48 17000 16.2 5.5 6.573874934 "Medium" "Medium"
"2663" "Lamb" "Texas" 13585 17.1659919 51.5 92.53588517 1.685682738 1.236658079 63.7 11.1 2.69 15169 19.5 4.5 7.832167832 "High" "High"
"2664" "Lampasas" "Texas" 21197 17.13921781 51.1 92.7772798 1.349247535 0.858612068 78.8 16.2 2.66 17184 13.6 4.1 4.911072322 "Medium" "Medium"
"2665" "Lavaca" "Texas" 18652 22.07269998 51.8 91.76495818 1.367145614 1.576238473 68.6 11.4 2.44 16398 13.2 3.5 5.313103152 "Medium" "Medium"
"2666" "Lee" "Texas" 16400 16.57926829 49.9 86.90853659 1.347560976 0.987804878 71.7 13.1 2.65 17163 12.3 4 7.591463415 "Medium" "Medium"
"2667" "Leon" "Texas" 16859 20.4757103 50.7 88.51651937 1.132926034 1.138857583 73.8 12.1 2.46 17599 15.4 4.4 5.421436621 "Medium" "Medium"
"2668" "Liberty" "Texas" 75333 11.01509299 51 85.7552467 1.399121235 0.882747269 69.6 8.1 2.8 15539 14.4 6 6.152682092 "Medium" "Medium"
"2669" "Limestone" "Texas" 22192 15.46953857 48.8 79.06903389 1.320295602 1.230173035 67.4 11.1 2.55 14352 21.3 4.5 13.00018025 "Medium" "High"
"2670" "Lipscomb" "Texas" 2981 15.56524656 50 96.67896679 1.47601476 1.20764844 74.5 18.9 2.5 16328 14.3 2.7 13.21704126 "Medium" "Medium"
"2671" "LiveOak" "Texas" 11247 18.17373522 44.5 95.57215257 0.82688717 0.862452209 67.1 12 2.53 15886 18.1 4.3 8.037698942 "Low" "Medium"
"2672" "Llano" "Texas" 18400 29.63586957 51.4 97.2826087 0.902173913 1.581521739 83.5 21 2.13 23547 12.4 4.5 6.385869565 "Low" "Medium"
"2673" "Loving" "Texas" 42 21.42857143 54.8 100 0 0 86.3 5.9 2.16 24083 20 8.9 40.47619048 NA "High"
"2674" "Lubbock" "Texas" 264418 11.33773041 50.8 89.05974631 1.572510192 0.770749344 78.4 24.4 2.52 17323 17.4 3.8 9.611675453 "High" "Medium"
"2675" "Lynn" "Texas" 5783 16.51392011 50.1 93.46360021 1.521701539 0.951063462 61.9 13.4 2.76 14090 20.1 4.7 9.735431437 "Medium" "High"
"2676" "Madison" "Texas" 13382 15.25930354 41.3 76.34882678 1.352563145 1.031235989 72.8 11.5 2.57 14056 21.2 5.3 9.176505754 "Medium" "High"
"2677" "Marion" "Texas" 10544 22.3160091 51.8 75.65440061 0.96737481 1.564871017 67.5 8.5 2.35 14535 25 5.1 4.637708649 "Low" "High"
"2678" "Martin" "Texas" 4513 13.11766009 50.8 95.47972524 1.661865721 1.13006869 65.8 11.8 2.87 15647 16.9 3.4 8.597385331 "High" "Medium"
